date,Id,steps,calories_burned,avg_heart_rate,sleep_hours
2023-01-01 00:00:00+00:00,150445.5,9227.53,2646.72,80.2,6.924
2023-01-01 00:01:00+00:00,150445.5,0.0,0.0,80.20002620967742,6.924
2023-01-01 00:02:00+00:00,150445.5,0.0,0.0,80.20005241935485,6.924
2023-01-01 00:03:00+00:00,150445.5,0.0,0.0,80.20007862903226,6.924
2023-01-01 00:04:00+00:00,150445.5,0.0,0.0,80.20010483870968,6.924
2023-01-01 00:05:00+00:00,150445.5,0.0,0.0,80.2001310483871,6.924
2023-01-01 00:06:00+00:00,150445.5,0.0,0.0,80.20015725806452,6.924
2023-01-01 00:07:00+00:00,150445.5,0.0,0.0,80.20018346774194,6.924
2023-01-01 00:08:00+00:00,150445.5,0.0,0.0,80.20020967741935,6.924
2023-01-01 00:09:00+00:00,150445.5,0.0,0.0,80.20023588709678,6.924
2023-01-01 00:10:00+00:00,150445.5,0.0,0.0,80.2002620967742,6.924
2023-01-01 00:11:00+00:00,150445.5,0.0,0.0,80.20028830645161,6.924
2023-01-01 00:12:00+00:00,150445.5,0.0,0.0,80.20031451612904,6.924
2023-01-01 00:13:00+00:00,150445.5,0.0,0.0,80.20034072580646,6.924
2023-01-01 00:14:00+00:00,150445.5,0.0,0.0,80.20036693548387,6.924
2023-01-01 00:15:00+00:00,150445.5,0.0,0.0,80.2003931451613,6.924
2023-01-01 00:16:00+00:00,150445.5,0.0,0.0,80.20041935483871,6.924
2023-01-01 00:17:00+00:00,150445.5,0.0,0.0,80.20044556451613,6.924
2023-01-01 00:18:00+00:00,150445.5,0.0,0.0,80.20047177419355,6.924
2023-01-01 00:19:00+00:00,150445.5,0.0,0.0,80.20049798387097,6.924
2023-01-01 00:20:00+00:00,150445.5,0.0,0.0,80.20052419354839,6.924
2023-01-01 00:21:00+00:00,150445.5,0.0,0.0,80.2005504032258,6.924
2023-01-01 00:22:00+00:00,150445.5,0.0,0.0,80.20057661290323,6.924
2023-01-01 00:23:00+00:00,150445.5,0.0,0.0,80.20060282258065,6.924
2023-01-01 00:24:00+00:00,150445.5,0.0,0.0,80.20062903225806,6.924
2023-01-01 00:25:00+00:00,150445.5,0.0,0.0,80.2006552419355,6.924
2023-01-01 00:26:00+00:00,150445.5,0.0,0.0,80.20068145161291,6.924
2023-01-01 00:27:00+00:00,150445.5,0.0,0.0,80.20070766129032,6.924
2023-01-01 00:28:00+00:00,150445.5,0.0,0.0,80.20073387096774,6.924
2023-01-01 00:29:00+00:00,150445.5,0.0,0.0,80.20076008064517,6.924
2023-01-01 00:30:00+00:00,150445.5,0.0,0.0,80.20078629032258,6.924
2023-01-01 00:31:00+00:00,150445.5,0.0,0.0,80.2008125,6.924
2023-01-01 00:32:00+00:00,150445.5,0.0,0.0,80.20083870967743,6.924
2023-01-01 00:33:00+00:00,150445.5,0.0,0.0,80.20086491935484,6.924
2023-01-01 00:34:00+00:00,150445.5,0.0,0.0,80.20089112903226,6.924
2023-01-01 00:35:00+00:00,150445.5,0.0,0.0,80.20091733870969,6.924
2023-01-01 00:36:00+00:00,150445.5,0.0,0.0,80.2009435483871,6.924
2023-01-01 00:37:00+00:00,150445.5,0.0,0.0,80.20096975806452,6.924
